cluster_id,cluster_size
0,844
1,676
2,174
3,90
4,73
5,48
6,36
7,23
8,21
9,20
10,15
11,14
12,13
13,10
14,7
15,6
16,6
17,5
18,5
19,5
20,5
21,5
22,5
26,4
27,4
25,4
23,4
24,4
38,3
36,3
41,3
40,3
39,3
37,3
35,3
34,3
33,3
32,3
31,3
30,3
29,3
28,3
55,2
53,2
54,2
50,2
56,2
57,2
58,2
51,2
52,2
49,2
48,2
47,2
46,2
45,2
44,2
43,2
42,2
185,1
188,1
187,1
186,1
182,1
184,1
183,1
190,1
181,1
189,1
193,1
191,1
192,1
179,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
180,1
176,1
178,1
166,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
167,1
177,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
202,1
201,1
231,1
203,1
204,1
229,1
230,1
155,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
228,1
227,1
226,1
214,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
215,1
225,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
156,1
125,1
154,1
153,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
82,1
81,1
80,1
68,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
69,1
79,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
104,1
105,1
106,1
142,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
143,1
131,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
132,1
130,1
107,1
117,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
118,1
129,1
119,1
120,1
121,1
122,1
123,1
124,1
126,1
127,1
128,1
250,1
