source,target
4383915,121864
1636295,4383915
4383915,121864
4383915,4383915
4383915,121864
4383915,121864
4383915,121864
121864,4383915
4383915,4383915
4383915,121864
4383915,121864
4383915,121864
4383915,121864
4383915,121864
4383915,112339
4383920,4383915
4383923,4383915
4383915,4383915
4383915,121864
112968,4383915
111082,4383915
4383915,113272
4383915,113272
4383915,121864
4383915,121864
4383915,121864
4383915,4383915
112968,4383915
121864,4383915
121864,4383915
119051,4383915
4383915,4383915
4383914,4383915
107894,4383915
114803,4383915
4383915,107271
4383915,110054
4383915,110078
4383915,106575
4383915,107271
107271,4383915
4383915,107271
4383915,121864
4383915,106586
4383915,117422
4383915,4383915
4383915,4383915
4383915,121864
107894,4383915
121864,4383915
121864,4383915
114214,4383915
4383915,114214
4383915,114214
121864,4383915
106924,4383915
115615,4383915
119051,4383915
593041,4383915
4383915,4383915
121864,4383915
4383915,121864
4383915,107709
4383913,4383915
4383913,4383915
4383915,121864
4383915,121864
121864,4383915
121864,4383915
4383915,4383848
4383915,4383913
4383915,4383913
121864,4383915
121864,4383915
4383915,4383915
4383915,4383915
121864,4383915
4383916,4383915
4383915,4383913
4383915,4383914
121864,4383915
4383915,121864
121864,4383915
4383915,4383915
121864,4383915
4383922,4383915
4383915,4383915
4383915,4383915
4383915,4383915
4383915,4383915
4383915,121864
121864,4383915
4383915,4383915
121864,4383915
4383915,4383913
121864,4383915
4383915,121864
4383915,4383913
4383915,113271
4383915,113271
4383915,4383915
4383915,4383915
4383915,4383915
4383915,4383915
4383915,4383915
121864,4383915
4383915,121864
4383915,121864
4383915,121864
4383915,4383915
121864,4383915
4383915,4383915
4383915,121864
4383915,112339
110712,4383915
4383915,4383915
4383915,121864
4383915,3938036
121864,4383915
4383915,117498
4383915,120312
4383915,111721
4383915,108267
4383915,121430
4383915,130617
4383915,110490
4383915,110420
4383915,121864
4383915,116627
4383915,114269
4383915,119218
4383915,108565
4383915,107433
4383915,110915
4383915,110149
4383915,129810
4383915,111775
4383915,119153
4383915,106768
4383915,110346
4383915,112898
4383915,112146
4383915,107529
4383915,108868
4383915,111004
4383915,112296
4383915,123559
4383915,117218
4383915,124658
4383915,112666
4383915,112404
4383915,110828
4383915,121122
4383915,120099
4383915,115341
4383915,106880
4383915,117178
4383915,125936
4383915,107315
4383915,107798
4383915,115378
4383915,122673
4383915,106716
4383915,116454
4383915,107983
4383915,107387
4383915,108163
4383915,122395
4383915,110764
4383915,107672
4383915,117332
4383915,124789
4383915,118844
4383915,120318
4383915,128268
4383915,112088
4383915,110503
4383915,128991
4383915,120151
4383915,112570
4383915,110415
4383915,111843
4383915,124296
4383915,115247
4383915,107712
4383915,122998
4383915,114515
4383915,109463
4383915,112461
4383915,113015
4383915,108276
4383915,112180
4383915,116295
4383915,107435
4383915,109404
4383915,117527
4383915,116808
4383915,108272
4383915,119959
4383915,107147
4383915,121591
4383915,124792
4383915,107771
4383915,124101
4383915,119333
4383915,571814
4383915,125759
4383915,129178
4383915,111132
4383915,111777
4383915,106884
4383915,111710
4383915,109350
4383915,111087
4383915,112401
4383915,115582
4383915,114088
4383915,121051
4383915,110974
4383915,121935
4383915,131627
4383915,121238
4383915,108158
4383915,126420
4383915,110952
4383915,118963
4383915,117260
4383915,109553
4383915,116735
4383915,106667
4383915,123875
4383915,110257
4383915,121220
4383915,111841
4383915,114018
4383915,109534
4383915,114752
4383915,123519
4383915,110155
4383915,113140
4383915,114077
4383915,110147
4383915,110199
4383915,123704
4383915,110876
4383915,115091
4383915,108942
4383915,115114
4383915,119256
4383915,116897
4383915,121716
4383915,116868
4383915,121844
4383915,124803
4383915,124226
4383915,120237
4383915,112454
4383915,120850
4383915,125011
4383915,110245
4383915,111155
4383915,108269
4383915,115574
4383915,119580
4383915,108564
4383915,123547
4383915,111810
4383915,123260
4383915,115292
4383915,114356
4383915,119968
4383915,125448
4383915,120020
4383915,113627
4383915,119983
4383915,116503
4383915,108288
4383915,116704
4383915,127329
4383915,131147
4383915,113920
4383915,115680
4383915,121235
4383915,112426
4383915,109864
4383915,122133
4383915,120998
4383915,116303
4383915,121677
4383915,116308
4383915,122777
4383915,115138
4383915,123134
4383915,108192
4383915,123630
4383915,114172
4383915,117478
4383915,136098
4383915,107475
4383915,112189
4383915,110038
4383915,112156
4383915,108009
4383915,121695
4383915,121936
4383915,116146
4383915,107665
4383915,124771
4383915,106881
4383915,116658
4383915,107399
4383915,119320
4383915,118141
4383915,116220
4383915,114215
4383915,121639
4383915,111757
4383915,119220
4383915,107848
4383915,116810
4383915,116483
4383915,109474
4383915,112063
4383915,125230
4383915,121864
4383915,121864
4383915,121864
4383915,121864
4383915,121864
121864,4383915
4383915,121864
4383915,121864
4383915,121864
109367,4383915
4383915,4383915
4383915,121864
109169,4383915
109169,4383915
4383915,106832
4383915,106841
4383915,125602
4383915,107821
4383915,4383915
116293,4383915
121864,4383915
121864,4383915
4383915,4383915
4383915,4383915
107149,4383915
4383915,109884
4383915,121864
109884,4383915
4383915,121864
4383915,4383848
